Key,Continent,Biome,Hemisphere,Year,Country,Total_MRG,Total_ARG,Total_Res,percent_household_wastewater_treatment,Total_Integrase,Total Pop.,Population_Density_ppl_sqkm_land),CO2_emissions_year_kt,Ecological_footprint_index,Total_population_w_sewage_home_treatment
5542,North America,Marine,Northern and Western,2013,United States,3.84746E-08,3.14104E-09,4.16156E-08,58.9,7.87E-11,316059947,35,34119894,0.051653899,18615930878
5692,North America,Estuary,Northern and Western,2010,United States,6.81977E-05,7.25594E-09,6.8205E-05,58.9,0,309327143,34,32095873,0.051681936,18219368723
11978,North America,Freshwater,Northern and Western,2014,Canada,0.000211499,1.91302E-10,0.0002115,67.4,9.31E-12,35437435,4,561761,0.036383476,2388483119
12755,Asia,Freshwater,Northern and Eastern,2012,Saudi Arabia,2.51499E-05,1.49719E-09,2.51514E-05,37.7,9.95E-11,30821543,14,492467,0.038123194,1161972171
12943,North America,Freshwater,Northern and Western,2014,United States,0.002702473,4.61403E-10,0.002702473,58.9,2.23E-10,318386329,35,34261370,0.053014003,18752954778
12991,North America,Freshwater,Northern and Western,2015,United States,0.002831718,1.30405E-09,0.00283172,58.9,1.69E-10,320738994,35,34070177,0.052095544,18891526747
13279,Asia,Freshwater,Northern and Eastern,2016,South Korea,0.000594346,4.71557E-09,0.000594351,76.8,0,25389611,211,28128,NA,1949922125
13753,South America,Freshwater,Southern and Western,2011,Brazil,0.000630493,2.78914E-09,0.000630496,52.4,9.11E-10,198185302,24,418295,0.22737996,10384909825
14283,North America,Freshwater,Northern and Western,2015,United States,6.94482E-10,7.50343E-11,7.69516E-10,58.9,2.00E-11,320738994,35,34070177,0.052095544,18891526747
14860,Europe,Freshwater,Northern and Eastern,2013,Greece,4.83718E-05,1.48965E-10,4.83719E-05,81.7,2.16E-12,10965211,85,72484,0.074512839,895857738.7
15454,North America,Freshwater,Northern and Western,2013,United States,0.053494339,4.83607E-10,0.05349434,58.9,9.49E-12,316059947,35,34119894,0.051653899,18615930878
16829,South America,Freshwater,Southern and Western,2015,Brazil,0.003026995,6.10427E-09,0.003027001,52.4,2.77E-10,205188205,25,485344,0.2322643,10751861942
17340,Africa,Freshwater,Northern and Western,2014,Cabo Verde,1.06034E-07,8.37913E-08,1.89825E-07,24.7,0,546076,136,496,0,13488077.2
18097,North America,Marine,Northern and Western,2010,United States,0.001740333,3.04081E-09,0.001740336,58.9,1.07E-12,309327143,34,32095873,0.051681936,18219368723
18667,Europe,Freshwater,Northern and Eastern,2016,Switzerland,0.000703357,2.98416E-09,0.00070336,97,1.86E-11,8373338,212,39667,0.15891743,812213786
19115,North America,Freshwater,Northern and Western,2016,United States,5.48651E-05,3.6749E-11,5.48652E-05,58.9,2.09E-12,323071755,35,34145652,0.057861231,19028926370
19167,Europe,Freshwater,Northern and Eastern,2016,Switzerland,0.000299404,9.60256E-09,0.000299414,97,0,8373338,212,39667,0.15891743,812213786
19284,South America,Freshwater,Southern and Western,2014,Brazil,1.8278E-07,1.4705E-08,1.97485E-07,52.4,0,203459650,24,511618,0.22716801,10661285660
19395,Europe,Freshwater,Northern and Eastern,2016,Switzerland,0.00021318,1.79453E-08,0.000213198,97,0,8373338,212,39667,0.15891743,812213786
19396,Europe,Freshwater,Northern and Eastern,2016,Switzerland,0.000703357,2.98416E-09,0.00070336,97,1.86E-11,8373338,212,39667,0.15891743,812213786
21104,South America,Freshwater,Southern and Western,2012,Brazil,1.32493E-07,4.18378E-08,1.74331E-07,52.4,0,199977707,24,454233,0.22116151,10478831847
80627,Antarctica,Marine,Southern and Eastern,2018,Antarctica,3.06172E-05,8.35304E-05,0.000114148,NA,0,NA,NA,NA,NA,NA
81845,South America,Estuary,Northern and Western,2015,Colombia,0,4.89041E-07,4.89041E-07,25.9,NA,47119728,42,81017,0.22664535,1220400955
82106,North America,Marine,Northern and Western,2016,Mexico,0.000382968,7.24919E-11,0.000382968,25.2,0,121519221,63,476395,0.07470569,3062284369
82424,North America,Marine,Northern and Western,2016,United States,0.000440383,8.23374E-09,0.000440391,58.9,0,323071755,35,34145652,0.057861231,19028926370
83955,Europe,Marine,Northern and Eastern,2015,Russia,0.000101703,1.31876E-10,0.000101703,18.5,2.42E-12,144096870,9,1592559,0.024814133,2665792095
89262,North America,Marine,Northern and Western,2016,United States,0.000925659,1.21678E-08,0.000925671,58.9,0,323071755,35,34145652,0.057861231,19028926370
89308,North America,Marine,Northern and Western,2016,Puerto Rico,0.000258713,8.16894E-12,0.000258713,NA,0,3406672,384,NA,NA,NA
96068,Europe,Freshwater,Northern and Eastern,2019,France,3.81166E-05,1.97717E-10,3.81168E-05,88,7.52E-12,67388001,123,300562,NA,5930144088
96089,Europe,Freshwater,Northern and Eastern,2015,France,0.000363023,5.86107E-11,0.000363023,88,2.83E-13,66548272,122,311175,NA,5856247936
97102,Asia,Marine,Northern and Eastern,2016,Japan,0.000482674,6.55441E-11,0.000482674,74.8,1.05E-12,127076000,349,1164869,0.082486227,9505284800
97220,Europe,Freshwater,Northern and Eastern,2017,Denmark,1.00195E-06,2.99995E-07,1.30194E-06,100,0,5764980,144,33184,0.22428067,576498000
97988,South America,Estuary,Northern and Western,2018,Colombia,0.021939511,3.25725E-09,0.021939514,25.9,3.34E-11,49276961,44,79355,0.078358524,1276273290
98315,North America,Marine,Northern and Western,2019,United States,0.000876122,1.88475E-09,0.000876124,58.9,NA,328329953,36,35477245,0.048485711,19338634232
99303,North America,Freshwater,Northern and Western,2018,United States,0.001030149,9.44298E-10,0.00103015,58.9,1.87E-11,326838199,36,35560556,0.051929269,19250769921
100537,North America,Marine,Northern and Western,2019,United States,0.000524913,1.81603E-10,0.000524913,58.9,0,328329953,36,35477245,0.048485711,19338634232
102713,Oceania,Freshwater,Southern and Eastern,2021,New Zealand,1.29192E-06,0,1.29192E-06,79.9,0,5111400,19,31360,0.087609954,408400860
102903,Africa,Freshwater,Southern and Eastern,2021,Kenya,2.88648E-05,8.81107E-09,2.88736E-05,1.1,1.11E-09,53005614,93,19447,0.045030903,58306175.4
104741,Africa,Freshwater,Southern and Eastern,2022,Rwanda,0.001347609,1.54063E-09,0.00134761,NA,0,13776698,546,1382,0.038914647,NA
106109,Africa,Freshwater,Southern and Eastern,2023,Kenya,0.005096884,2.40642E-07,0.005097125,1.1,4.39E-10,54027487,93,19447,NA,59430235.7
SRR12316794,Europe,Estuary,Northern and Eastern,2018,France,8.46708E-09,1.13026E-09,9.59734E-09,88,4.04E-12,67158348,123,306948,NA,5909934624
SRR16004848,North America,Estuary,Northern and Western,2019,United States,0.003019576,4.11464E-08,0.003019617,58.9,5.66E-09,328329953,36,35477245,0.048485711,19338634232
SRR16004849,North America,Estuary,Northern and Western,2019,United States,1.44295E-07,5.17095E-08,1.96004E-07,58.9,3.71E-09,328329953,36,35477245,0.048485711,19338634232
SRR16004854,North America,Estuary,Northern and Western,2019,United States,9.84669E-08,3.33986E-08,1.31865E-07,58.9,0,328329953,36,35477245,0.048485711,19338634232
SRR16004865,North America,Estuary,Northern and Western,2019,United States,0.001257577,2.75174E-08,0.001257604,58.9,7.76E-09,328329953,36,35477245,0.048485711,19338634232
SRR16004874,North America,Estuary,Northern and Western,2019,United States,0.001056986,9.28626E-09,0.001056995,58.9,6.55E-10,328329953,36,35477245,0.048485711,19338634232
SRR16004879,North America,Estuary,Northern and Western,2019,United States,0.000745656,2.1127E-08,0.000745677,58.9,5.50E-10,328329953,36,35477245,0.048485711,19338634232
SRR16004890,North America,Estuary,Northern and Western,2019,United States,0.016601433,5.01999E-08,0.016601483,58.9,5.87E-09,328329953,36,35477245,0.048485711,19338634232
SRR16004919,North America,Estuary,Northern and Western,2019,United States,6.78181E-08,9.23537E-09,7.70535E-08,58.9,3.05E-10,328329953,36,35477245,0.048485711,19338634232
SRR16004920,North America,Estuary,Northern and Western,2019,United States,9.89611E-08,2.53826E-08,1.24344E-07,58.9,0,328329953,36,35477245,0.048485711,19338634232
SRR16004921,North America,Estuary,Northern and Western,2019,United States,0.00142579,4.48923E-08,0.001425835,58.9,5.67E-09,328329953,36,35477245,0.048485711,19338634232
SRR16004922,North America,Estuary,Northern and Western,2019,United States,8.20706E-08,1.75523E-08,9.96229E-08,58.9,0,328329953,36,35477245,0.048485711,19338634232
SRR24270823,Asia,Estuary,Northern and Eastern,2020,China,0.00324191,3.87178E-09,0.003241914,9.4,0,1411100000,150,10944686,0.12322112,13264340000
SRR24270824,Asia,Estuary,Northern and Eastern,2020,China,0.000241134,8.75166E-10,0.000241135,9.4,0,1411100000,150,10944686,0.12322112,13264340000
SRR24270825,Asia,Estuary,Northern and Eastern,2018,China,0.001118937,2.71015E-10,0.001118937,9.4,0,1402760000,149,10567262,0.12123451,13185944000
SRR24270829,Asia,Estuary,Northern and Eastern,2018,China,2.54941E-05,4.86228E-10,2.54946E-05,9.4,0,1402760000,149,10567262,0.12123451,13185944000
SRR24270838,Asia,Estuary,Northern and Eastern,2020,China,0.001633761,5.71556E-09,0.001633767,9.4,0,1411100000,150,10944686,0.12322112,13264340000
